dataset,model,fold_season,ratio,c_u,c_o,scope,total_cost,under_cost,over_cost,service_level,n_weeks,n_regions
Sweden-CV,Persistence,2022/23,3:1,3,1,fold,16150.42814196751,7179.282284152576,8971.145857814932,0.7691197691197691,33,21
Sweden-CV,Persistence,2022/23,5:1,5,1,fold,20781.66181264012,9869.574467453993,10912.087345186126,0.810966810966811,33,21
Sweden-CV,Persistence,2022/23,10:1,10,1,fold,27560.44357309641,8808.177073293384,18752.266499803027,0.8874458874458875,33,21
Sweden-CV,Persistence,2023/24,2:1,2,1,fold,7387.510506072604,3557.8411825506337,3829.6693235219695,0.7041847041847041,33,21
Sweden-CV,Persistence,2023/24,3:1,3,1,fold,9468.139060335412,3660.9656732341496,5807.173387101264,0.7777777777777778,33,21
Sweden-CV,Persistence,2023/24,5:1,5,1,fold,11958.765996960414,3393.6697097197566,8565.096287240658,0.8715728715728716,33,21
Sweden-CV,Persistence,2023/24,10:1,10,1,fold,16809.57837317173,1662.1877532685394,15147.390619903192,0.9538239538239538,33,21
Sweden-CV,Persistence,2024/25,2:1,2,1,fold,9516.047759524925,5412.084727187692,4103.963032337232,0.6738816738816739,33,21
Sweden-CV,Persistence,2024/25,3:1,3,1,fold,11368.399614262244,5595.416474280152,5772.983139982092,0.7619047619047619,33,21
Sweden-CV,Persistence,2024/25,5:1,5,1,fold,13726.658657929298,6291.599157476194,7435.059500453104,0.834054834054834,33,21
Sweden-CV,Persistence,2024/25,10:1,10,1,fold,17899.70559135711,7577.067076325386,10322.638515031724,0.8975468975468975,33,21
Sweden-CV,Persistence,POOLED,2:1,2,1,pooled,51370.68939035717,27251.155174569016,24119.534215788153,0.6907166907166907,198,21
Sweden-CV,Persistence,POOLED,3:1,3,1,pooled,63539.75521347146,31052.436887351323,32487.31832612012,0.7621452621452621,198,21
Sweden-CV,Persistence,POOLED,5:1,5,1,pooled,80970.40189610227,37189.62290882896,43780.7789872733,0.8371813371813371,198,21
Sweden-CV,Persistence,POOLED,10:1,10,1,pooled,111604.25464190454,43609.93766150024,67994.3169804043,0.9117364117364117,198,21
Sweden-CV,SeasonalNaive,2018/19,2:1,2,1,fold,27952.621952361413,1148.5888565653804,26804.033095796036,0.8816738816738817,33,21
Sweden-CV,SeasonalNaive,2018/19,3:1,3,1,fold,33311.30663985266,1265.9125191684925,32045.39412068417,0.9206349206349206,33,21
Sweden-CV,SeasonalNaive,2018/19,5:1,5,1,fold,40516.61104023127,1125.7133626299928,39390.89767760127,0.9653679653679653,33,21
