dataset,model,horizon,fold_season,ratio,c_u,c_o,scope,total_cost,under_cost,over_cost,service_level,n_weeks,n_regions
Sweden-CV-multihorizon,MEx-EpiGNN-SE,1,2024/25,2:1,2,1,fold,8764.076223935881,5769.713955311323,2994.3622686245585,0.6637806637806638,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,1,2024/25,3:1,3,1,fold,11035.305782033734,7167.922565828019,3867.383216205716,0.7316017316017316,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,1,2024/25,5:1,5,1,fold,13655.280471152748,8612.946894721701,5042.333576431048,0.7864357864357865,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,1,2024/25,10:1,10,1,fold,16103.156296108209,8502.617011465361,7600.539284642846,0.8614718614718615,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,1,POOLED,2:1,2,1,pooled,50804.18566875065,25668.347603796967,25135.838064953692,0.6945646945646946,198,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,1,POOLED,3:1,3,1,pooled,62301.93402067685,31407.60296901474,30894.3310516621,0.7621452621452621,198,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,1,POOLED,5:1,5,1,pooled,80013.34493978282,39683.97926612825,40329.36567365458,0.8268398268398268,198,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,1,POOLED,10:1,10,1,pooled,110102.0303093656,55506.45383323435,54595.576476131246,0.8927368927368927,198,21
Sweden-CV-multihorizon,Persistence,1,2018/19,2:1,2,1,fold,6222.728434076496,3318.337960181806,2904.3904738946894,0.7056277056277056,33,21
Sweden-CV-multihorizon,Persistence,1,2018/19,3:1,3,1,fold,7779.664945264911,3339.34756194916,4440.317383315751,0.7748917748917749,33,21
Sweden-CV-multihorizon,Persistence,1,2018/19,5:1,5,1,fold,9675.939971791535,3567.424039537822,6108.515932253713,0.8441558441558441,33,21
Sweden-CV-multihorizon,Persistence,1,2018/19,10:1,10,1,fold,12567.214776707317,3935.261609231277,8631.95316747604,0.9235209235209235,33,21
Sweden-CV-multihorizon,Persistence,1,2019/20,2:1,2,1,fold,4119.785224580816,2045.3933041156383,2074.3919204651784,0.7215007215007215,33,21
Sweden-CV-multihorizon,Persistence,1,2019/20,3:1,3,1,fold,5101.218038951145,2320.6914275164836,2780.526611434661,0.7965367965367965,33,21
Sweden-CV-multihorizon,Persistence,1,2019/20,5:1,5,1,fold,6431.007937361095,2032.1247641242455,4398.883173236851,0.8744588744588745,33,21
Sweden-CV-multihorizon,Persistence,1,2019/20,10:1,10,1,fold,8459.766612654968,1622.5815346895836,6837.185077965386,0.9422799422799423,33,21
Sweden-CV-multihorizon,Persistence,1,2021/22,2:1,2,1,fold,10818.26489968504,6984.107727502751,3834.1571721822884,0.6349206349206349,33,21
Sweden-CV-multihorizon,Persistence,1,2021/22,3:1,3,1,fold,13671.905412690227,8956.733466218808,4715.171946471419,0.6926406926406926,33,21
Sweden-CV-multihorizon,Persistence,1,2021/22,5:1,5,1,fold,18396.3675194198,12035.230770516951,6361.136748902848,0.7878787878787878,33,21
Sweden-CV-multihorizon,Persistence,1,2021/22,10:1,10,1,fold,28307.545714917003,20004.662614692068,8302.883100224932,0.8658008658008658,33,21
Sweden-CV-multihorizon,Persistence,1,2022/23,2:1,2,1,fold,13306.352566417288,5933.390273030493,7372.962293386796,0.7041847041847041,33,21
Sweden-CV-multihorizon,Persistence,1,2022/23,3:1,3,1,fold,16150.42814196751,7179.282284152576,8971.145857814932,0.7691197691197691,33,21
Sweden-CV-multihorizon,Persistence,1,2022/23,5:1,5,1,fold,20781.66181264012,9869.574467453993,10912.087345186126,0.810966810966811,33,21
Sweden-CV-multihorizon,Persistence,1,2022/23,10:1,10,1,fold,27560.44357309641,8808.177073293384,18752.266499803027,0.8874458874458875,33,21
Sweden-CV-multihorizon,Persistence,1,2023/24,2:1,2,1,fold,7387.510506072604,3557.8411825506337,3829.6693235219695,0.7041847041847041,33,21
Sweden-CV-multihorizon,Persistence,1,2023/24,3:1,3,1,fold,9468.139060335412,3660.9656732341496,5807.173387101264,0.7777777777777778,33,21
Sweden-CV-multihorizon,Persistence,1,2023/24,5:1,5,1,fold,11958.765996960414,3393.6697097197566,8565.096287240658,0.8715728715728716,33,21
Sweden-CV-multihorizon,Persistence,1,2023/24,10:1,10,1,fold,16809.57837317173,1662.1877532685394,15147.390619903192,0.9538239538239538,33,21
Sweden-CV-multihorizon,Persistence,1,2024/25,2:1,2,1,fold,9516.047759524925,5412.084727187692,4103.963032337232,0.6738816738816739,33,21
Sweden-CV-multihorizon,Persistence,1,2024/25,3:1,3,1,fold,11368.399614262244,5595.416474280152,5772.983139982092,0.7619047619047619,33,21
Sweden-CV-multihorizon,Persistence,1,2024/25,5:1,5,1,fold,13726.658657929298,6291.599157476194,7435.059500453104,0.834054834054834,33,21
Sweden-CV-multihorizon,Persistence,1,2024/25,10:1,10,1,fold,17899.70559135711,7577.067076325386,10322.638515031724,0.8975468975468975,33,21
Sweden-CV-multihorizon,Persistence,1,POOLED,2:1,2,1,pooled,51370.68939035717,27251.155174569016,24119.534215788153,0.6907166907166907,198,21
Sweden-CV-multihorizon,Persistence,1,POOLED,3:1,3,1,pooled,63539.75521347146,31052.436887351323,32487.31832612012,0.7621452621452621,198,21
Sweden-CV-multihorizon,Persistence,1,POOLED,5:1,5,1,pooled,80970.40189610227,37189.62290882896,43780.7789872733,0.8371813371813371,198,21
Sweden-CV-multihorizon,Persistence,1,POOLED,10:1,10,1,pooled,111604.25464190454,43609.93766150024,67994.3169804043,0.9117364117364117,198,21
Sweden-CV-multihorizon,SeasonalNaive,1,2018/19,2:1,2,1,fold,27952.621952361413,1148.5888565653804,26804.033095796036,0.8816738816738817,33,21
Sweden-CV-multihorizon,SeasonalNaive,1,2018/19,3:1,3,1,fold,33311.30663985266,1265.9125191684925,32045.39412068417,0.9206349206349206,33,21
Sweden-CV-multihorizon,SeasonalNaive,1,2018/19,5:1,5,1,fold,40516.61104023127,1125.7133626299928,39390.89767760127,0.9653679653679653,33,21
Sweden-CV-multihorizon,SeasonalNaive,1,2018/19,10:1,10,1,fold,47945.12264320708,1539.0594340733246,46406.06320913376,0.9754689754689755,33,21
Sweden-CV-multihorizon,SeasonalNaive,1,2019/20,2:1,2,1,fold,8199.315180847583,2896.994784011163,5302.32039683642,0.7821067821067821,33,21
Sweden-CV-multihorizon,SeasonalNaive,1,2019/20,3:1,3,1,fold,10684.61874914885,3169.819682810874,7514.799066337977,0.8455988455988456,33,21
Sweden-CV-multihorizon,SeasonalNaive,1,2019/20,5:1,5,1,fold,13785.293491221259,3717.222210224806,10068.071280996453,0.8874458874458875,33,21
Sweden-CV-multihorizon,SeasonalNaive,1,2019/20,10:1,10,1,fold,18975.104262685913,5206.546363936402,13768.55789874951,0.9321789321789322,33,21
Sweden-CV-multihorizon,SeasonalNaive,1,2021/22,2:1,2,1,fold,25434.70358155321,25169.85971804772,264.8438635054915,0.3593073593073593,33,21
